epoch,step,train_loss,val_loss
0,49,0.5056305527687073,
0,99,0.42440223693847656,
0,124,,0.4211234748363495
1,149,0.3871414065361023,
1,199,0.4010712802410126,
1,249,0.3128434419631958,
1,249,,0.3356330990791321
2,299,0.3436511158943176,
2,349,0.3341298997402191,
2,374,,0.2914954721927643
3,399,0.29812091588974,
3,449,0.21809105575084686,
3,499,0.2689386010169983,
3,499,,0.2779431641101837
4,549,0.22990423440933228,
4,599,0.3191344141960144,
4,624,,0.2556781470775604
5,649,0.23033589124679565,
5,699,0.30002984404563904,
5,749,0.20365692675113678,
5,749,,0.23246030509471893
6,799,0.21740978956222534,
6,849,0.23115187883377075,
6,874,,0.22617341578006744
7,899,0.20403309166431427,
7,949,0.19143296778202057,
7,999,0.21415658295154572,
7,999,,0.2118082493543625
8,1049,0.19533802568912506,
8,1099,0.21862632036209106,
8,1124,,0.2013375610113144
9,1149,0.17453259229660034,
9,1199,0.14167068898677826,
9,1249,0.1653459221124649,
9,1249,,0.1878812164068222
10,1299,0.13890865445137024,
10,1349,0.2142769992351532,
10,1374,,0.17692254483699799
11,1399,0.16450172662734985,
11,1449,0.17430327832698822,
11,1499,0.16739225387573242,
11,1499,,0.15956753492355347
12,1549,0.14063222706317902,
12,1599,0.1267203539609909,
12,1624,,0.1384304016828537
13,1649,0.19668300449848175,
13,1699,0.15464407205581665,
13,1749,0.10360191017389297,
13,1749,,0.12710750102996826
14,1799,0.12472806870937347,
14,1849,0.12064466625452042,
14,1874,,0.11612483114004135
15,1899,0.12132962048053741,
15,1949,0.0833095833659172,
15,1999,0.15187907218933105,
15,1999,,0.10807976871728897
16,2049,0.1297822743654251,
16,2099,0.10983219742774963,
16,2124,,0.10721798241138458
17,2149,0.07686575502157211,
17,2199,0.12741808593273163,
17,2249,0.08877293765544891,
17,2249,,0.10458242148160934
18,2299,0.08516346663236618,
18,2349,0.11125967651605606,
18,2374,,0.1059473305940628
19,2399,0.0888165682554245,
19,2449,0.08990008383989334,
19,2499,0.07611482590436935,
19,2499,,0.10080026835203171
20,2549,0.09336690604686737,
20,2599,0.05869143456220627,
20,2624,,0.10201593488454819
21,2649,0.0750734731554985,
21,2699,0.09839387238025665,
21,2749,0.10267894715070724,
21,2749,,0.10161784291267395
22,2799,0.11588449776172638,
22,2849,0.13865505158901215,
22,2874,,0.10221825540065765
23,2899,0.08084232360124588,
23,2949,0.09423136711120605,
23,2999,0.05644191801548004,
23,2999,,0.1017531305551529
24,3049,0.07754786312580109,
24,3099,0.09235931187868118,
24,3124,,0.10380488634109497
25,3149,0.07424284517765045,
25,3199,0.08865383267402649,
25,3249,0.08797464519739151,
25,3249,,0.0994671881198883
26,3299,0.097865030169487,
26,3349,0.09220147132873535,
26,3374,,0.0993356928229332
27,3399,0.12567397952079773,
27,3449,0.06591483950614929,
27,3499,0.09509031474590302,
27,3499,,0.0983218103647232
28,3549,0.0964844599366188,
28,3599,0.09677249938249588,
28,3624,,0.10348756611347198
29,3649,0.08119716495275497,
29,3699,0.0794423371553421,
29,3749,0.12873129546642303,
29,3749,,0.10111567378044128
30,3799,0.11209817230701447,
30,3849,0.1122555062174797,
30,3874,,0.09799155592918396
31,3899,0.10517032444477081,
31,3949,0.06808477640151978,
31,3999,0.09133659303188324,
31,3999,,0.09960860013961792
32,4049,0.08382616192102432,
32,4099,0.07321600615978241,
32,4124,,0.09895514696836472
33,4149,0.08282536268234253,
33,4199,0.0802670568227768,
33,4249,0.053970903158187866,
33,4249,,0.09819141030311584
34,4299,0.11119083315134048,
34,4349,0.06682537496089935,
34,4374,,0.09774564951658249
35,4399,0.0811634510755539,
35,4449,0.07109342515468597,
35,4499,0.09948986023664474,
35,4499,,0.0979483351111412
36,4549,0.12180644273757935,
36,4599,0.08552047610282898,
36,4624,,0.10423087328672409
37,4649,0.10179244726896286,
37,4699,0.08535633236169815,
37,4749,0.09492578357458115,
37,4749,,0.0969499945640564
38,4799,0.05356043949723244,
38,4849,0.076195627450943,
38,4874,,0.09813294559717178
39,4899,0.11660440266132355,
39,4949,0.06750591099262238,
39,4999,0.0990515872836113,
39,4999,,0.09910038113594055
40,5049,0.0845545306801796,
40,5099,0.10019247233867645,
40,5124,,0.09850641340017319
41,5149,0.0908600315451622,
41,5199,0.08386130630970001,
41,5249,0.05114024505019188,
41,5249,,0.0963251143693924
42,5299,0.08210954815149307,
42,5349,0.09196975827217102,
42,5374,,0.09933420270681381
43,5399,0.07320774346590042,
43,5449,0.09586553275585175,
43,5499,0.096511609852314,
43,5499,,0.09730639308691025
44,5549,0.07812095433473587,
44,5599,0.0804203599691391,
44,5624,,0.09889043867588043
45,5649,0.07398934662342072,
45,5699,0.053341351449489594,
45,5749,0.08732830733060837,
45,5749,,0.09735536575317383
46,5799,0.08217321336269379,
46,5849,0.07016152143478394,
46,5874,,0.09776827692985535
47,5899,0.08455696702003479,
