epoch,step,train_loss,val_loss
0,31,,0.481497585773468
1,49,0.4851383864879608,
1,63,,0.4810507297515869
2,95,,0.47987520694732666
3,99,0.43867263197898865,
3,127,,0.45800942182540894
4,149,0.44016510248184204,
4,159,,0.4348212778568268
5,191,,0.42058199644088745
6,199,0.4690021276473999,
6,223,,0.40078267455101013
7,249,0.3649758994579315,
7,255,,0.37502574920654297
8,287,,0.36460089683532715
9,299,0.3465234339237213,
9,319,,0.35557132959365845
10,349,0.3146401643753052,
10,351,,0.34811145067214966
11,383,,0.34275707602500916
12,399,0.3269379436969757,
12,415,,0.33853286504745483
13,447,,0.3350982666015625
14,449,0.3495119512081146,
14,479,,0.3314206600189209
15,499,0.35599005222320557,
15,511,,0.32585039734840393
16,543,,0.3225742280483246
17,549,0.36024364829063416,
17,575,,0.31927990913391113
18,599,0.37591442465782166,
18,607,,0.315146267414093
19,639,,0.3099896311759949
20,649,0.30236297845840454,
20,671,,0.30093541741371155
21,699,0.3209536671638489,
21,703,,0.29745978116989136
22,735,,0.29292964935302734
23,749,0.2655368447303772,
23,767,,0.28864598274230957
24,799,0.2663336396217346,
24,799,,0.2831307351589203
25,831,,0.2800990641117096
26,849,0.2695123553276062,
26,863,,0.2739052474498749
27,895,,0.2704433798789978
28,899,0.2919541895389557,
28,927,,0.2688736915588379
29,949,0.26238974928855896,
29,959,,0.2644263207912445
30,991,,0.25984781980514526
31,999,0.23222213983535767,
31,1023,,0.2522444725036621
32,1049,0.25298064947128296,
32,1055,,0.24663257598876953
33,1087,,0.24196992814540863
34,1099,0.2426575869321823,
34,1119,,0.23902107775211334
35,1149,0.25708484649658203,
35,1151,,0.23831993341445923
36,1183,,0.23700830340385437
37,1199,0.23222298920154572,
37,1215,,0.23895692825317383
38,1247,,0.2342831939458847
39,1249,0.23774445056915283,
39,1279,,0.23448467254638672
40,1299,0.2521338164806366,
40,1311,,0.23423759639263153
41,1343,,0.235612690448761
42,1349,0.2666913866996765,
42,1375,,0.23471762239933014
43,1399,0.21402175724506378,
43,1407,,0.23221510648727417
44,1439,,0.2330554723739624
45,1449,0.21201282739639282,
45,1471,,0.2320173978805542
46,1499,0.21899020671844482,
46,1503,,0.231220543384552
47,1535,,0.23398923873901367
48,1549,0.2154521942138672,
48,1567,,0.23181916773319244
49,1599,0.29013440012931824,
49,1599,,0.23364591598510742
50,1631,,0.23267993330955505
51,1649,0.22645297646522522,
51,1663,,0.2307279258966446
52,1695,,0.23090492188930511
53,1699,0.22960619628429413,
53,1727,,0.2326928973197937
54,1749,0.24310250580310822,
54,1759,,0.23064856231212616
55,1791,,0.2304101437330246
56,1799,0.21012453734874725,
56,1823,,0.23013082146644592
57,1849,0.21995502710342407,
57,1855,,0.23015296459197998
58,1887,,0.2321907877922058
59,1899,0.2548937499523163,
59,1919,,0.2302199751138687
60,1949,0.2243567705154419,
60,1951,,0.2303609699010849
61,1983,,0.22968801856040955
62,1999,0.22189509868621826,
62,2015,,0.22920027375221252
63,2047,,0.23067738115787506
64,2049,0.23424319922924042,
64,2079,,0.2293410748243332
65,2099,0.215076744556427,
65,2111,,0.22945211827754974
66,2143,,0.22964343428611755
67,2149,0.24428051710128784,
67,2175,,0.23342683911323547
68,2199,0.2087119221687317,
68,2207,,0.22992604970932007
69,2239,,0.23082856833934784
70,2249,0.24179193377494812,
70,2271,,0.22840279340744019
71,2299,0.1973346769809723,
71,2303,,0.22929958999156952
72,2335,,0.22942325472831726
73,2349,0.23375988006591797,
73,2367,,0.22879384458065033
74,2399,0.23685650527477264,
74,2399,,0.22816672921180725
75,2431,,0.23015335202217102
76,2449,0.21351875364780426,
76,2463,,0.22876380383968353
77,2495,,0.2279742956161499
78,2499,0.21689048409461975,
78,2527,,0.22743581235408783
79,2549,0.2156379520893097,
79,2559,,0.22814661264419556
80,2591,,0.22794212400913239
81,2599,0.26604485511779785,
81,2623,,0.2286858707666397
82,2649,0.24939987063407898,
82,2655,,0.22870628535747528
83,2687,,0.2278657704591751
84,2699,0.20892854034900665,
84,2719,,0.22837640345096588
85,2749,0.23998214304447174,
85,2751,,0.22636134922504425
86,2783,,0.22586840391159058
87,2799,0.22041690349578857,
87,2815,,0.22375516593456268
88,2847,,0.22143203020095825
89,2849,0.21289940178394318,
89,2879,,0.21789024770259857
90,2899,0.2106422781944275,
90,2911,,0.21559461951255798
91,2943,,0.21794597804546356
92,2949,0.21880240738391876,
92,2975,,0.20729196071624756
93,2999,0.21848733723163605,
93,3007,,0.20536231994628906
94,3039,,0.20259074866771698
95,3049,0.19154682755470276,
95,3071,,0.1991853564977646
96,3099,0.20533984899520874,
96,3103,,0.1980879157781601
97,3135,,0.19555503129959106
98,3149,0.18305912613868713,
98,3167,,0.19517803192138672
99,3199,0.14178627729415894,
99,3199,,0.19395717978477478
100,3200,,0.19395717978477478
