epoch,step,train_loss,val_loss
0,31,,0.5068548321723938
1,49,0.49289005994796753,
1,63,,0.5061312317848206
2,95,,0.5017044544219971
3,99,0.4691371023654938,
3,127,,0.4479316473007202
4,149,0.39388829469680786,
4,159,,0.40814825892448425
5,191,,0.3635868430137634
6,199,0.36000725626945496,
6,223,,0.3366875946521759
7,249,0.258266419172287,
7,255,,0.29809603095054626
8,287,,0.27308958768844604
9,299,0.24261265993118286,
9,319,,0.26342087984085083
10,349,0.2531351149082184,
10,351,,0.25655052065849304
11,383,,0.26154235005378723
12,399,0.21800144016742706,
12,415,,0.25014886260032654
13,447,,0.2506174147129059
14,449,0.22740645706653595,
14,479,,0.23526336252689362
15,499,0.19004744291305542,
15,511,,0.22736535966396332
16,543,,0.21077726781368256
17,549,0.1801595538854599,
17,575,,0.1940634399652481
18,599,0.18280552327632904,
18,607,,0.1845807135105133
19,639,,0.1786527782678604
20,649,0.15738485753536224,
20,671,,0.17730504274368286
21,699,0.15854577720165253,
21,703,,0.17638936638832092
22,735,,0.17329341173171997
23,749,0.15028232336044312,
23,767,,0.17290383577346802
24,799,0.1429397165775299,
24,799,,0.17360800504684448
25,831,,0.17063583433628082
26,849,0.1604384481906891,
26,863,,0.17282038927078247
27,895,,0.17146342992782593
28,899,0.15628424286842346,
28,927,,0.16865912079811096
29,949,0.16846150159835815,
29,959,,0.16973339021205902
30,991,,0.17114517092704773
31,999,0.1431678831577301,
31,1023,,0.16797274351119995
32,1049,0.15731081366539001,
32,1055,,0.1693629026412964
33,1087,,0.16651330888271332
34,1099,0.15693794190883636,
34,1119,,0.16593042016029358
35,1149,0.15737637877464294,
35,1151,,0.1697193682193756
36,1183,,0.16736993193626404
37,1199,0.13903546333312988,
37,1215,,0.16780458390712738
38,1247,,0.1694677323102951
39,1249,0.14295443892478943,
39,1279,,0.1673048734664917
40,1299,0.15696439146995544,
40,1311,,0.16871052980422974
41,1343,,0.16288478672504425
42,1349,0.1452440321445465,
42,1375,,0.1641087383031845
43,1399,0.1464090645313263,
43,1407,,0.16208703815937042
44,1439,,0.16379964351654053
45,1449,0.1642836332321167,
45,1471,,0.16033555567264557
46,1499,0.1611490249633789,
46,1503,,0.15845772624015808
47,1535,,0.1572805643081665
48,1549,0.1355196237564087,
48,1567,,0.15260687470436096
49,1599,0.15224725008010864,
49,1599,,0.14175662398338318
50,1631,,0.14506402611732483
51,1649,0.12601110339164734,
51,1663,,0.12765085697174072
52,1695,,0.12138880044221878
53,1699,0.12174036353826523,
53,1727,,0.11225827038288116
54,1749,0.10107820481061935,
54,1759,,0.10640236735343933
55,1791,,0.10267340391874313
56,1799,0.08272480964660645,
56,1823,,0.10249102860689163
57,1849,0.09087219834327698,
57,1855,,0.10285037755966187
58,1887,,0.09907379746437073
59,1899,0.1170613169670105,
59,1919,,0.09726334363222122
60,1949,0.08252376317977905,
60,1951,,0.09673763066530228
61,1983,,0.09632854163646698
62,1999,0.07606775313615799,
62,2015,,0.09696201980113983
63,2047,,0.09624573588371277
64,2049,0.09251546859741211,
64,2079,,0.09431780129671097
65,2099,0.08672384917736053,
65,2111,,0.09475673735141754
66,2143,,0.0955754965543747
67,2149,0.0913567766547203,
67,2175,,0.09654529392719269
68,2199,0.09372124075889587,
68,2207,,0.09488966315984726
69,2239,,0.09520751237869263
70,2249,0.080349400639534,
70,2271,,0.09403099119663239
71,2299,0.08770434558391571,
71,2303,,0.09438137710094452
72,2335,,0.09437792748212814
73,2349,0.09090599417686462,
73,2367,,0.09279938787221909
74,2399,0.10292554646730423,
74,2399,,0.09418731927871704
75,2431,,0.09246086329221725
76,2449,0.08200042694807053,
76,2463,,0.09424584358930588
77,2495,,0.0933271050453186
78,2499,0.08026712387800217,
78,2527,,0.0923343375325203
79,2549,0.08188939094543457,
79,2559,,0.09375150501728058
80,2591,,0.09359578788280487
81,2599,0.10230913758277893,
81,2623,,0.09232523292303085
82,2649,0.0825042650103569,
82,2655,,0.09262414276599884
83,2687,,0.0920272246003151
84,2699,0.07570546120405197,
84,2719,,0.09112800657749176
85,2749,0.08226241916418076,
85,2751,,0.09123256802558899
86,2783,,0.09232737869024277
87,2799,0.08069657534360886,
87,2815,,0.09401053190231323
88,2847,,0.093330018222332
89,2849,0.0898519903421402,
89,2879,,0.09045281261205673
90,2899,0.08436170220375061,
90,2911,,0.09136109054088593
91,2943,,0.09284182637929916
92,2949,0.08920762687921524,
92,2975,,0.09161771088838577
93,2999,0.08195928484201431,
93,3007,,0.09113006293773651
94,3039,,0.09100553393363953
95,3049,0.0868871882557869,
95,3071,,0.09161190688610077
96,3099,0.08884011954069138,
96,3103,,0.0913359746336937
97,3135,,0.09110639244318008
98,3149,0.07441531866788864,
98,3167,,0.0908023864030838
99,3199,0.06743070483207703,
99,3199,,0.09238631278276443
100,3200,,0.09238631278276443
